 [2020-04-15 14 : 47 : 29] Текст ошибки: Class 'PHPMailer' not found | Файл: /home/alfred/php curs online/fw/app/controllers/MainController.php | Строка: 28
[2020-04-17 13 : 21 : 34] Текст ошибки: Контроллер <b>app\controllers\UserController</b> не найден | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 66

**********

[2020-04-17 13 : 21 : 35] Текст ошибки: Контроллер <b>app\controllers\UserController</b> не найден | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 66

**********

[2020-04-17 13 : 21 : 37] Текст ошибки: Контроллер <b>app\controllers\UserController</b> не найден | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 66

**********

[2020-04-17 13 : 21 : 37] Текст ошибки: Контроллер <b>app\controllers\UserController</b> не найден | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 66

**********

[2020-04-17 13 : 21 : 37] Текст ошибки: Контроллер <b>app\controllers\UserController</b> не найден | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 66

**********

[2020-04-17 13 : 21 : 38] Текст ошибки: Контроллер <b>app\controllers\UserController</b> не найден | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 66

**********

[2020-04-17 13 : 22 : 35] Текст ошибки: Контроллер <b>app\controllers\UserController</b> не найден | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 66

**********

[2020-04-17 13 : 23 : 35] Текст ошибки: Контроллер <b>app\controllers\UserController</b> не найден | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 66

**********

[2020-04-17 13 : 27 : 37] Текст ошибки: Контроллер <b>app\controllers\UserController</b> не найден | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 66

**********

[2020-04-17 13 : 29 : 03] Текст ошибки: Контроллер <b>app\controllers\UserController</b> не найден | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 67

**********

[2020-04-17 13 : 29 : 21] Текст ошибки: Контроллер <b>app\controllers\UserController</b> не найден | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 67

**********

[2020-04-17 13 : 29 : 43] Текст ошибки: Контроллер <b>app\controllers\UserController</b> не найден | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 66

**********

[2020-04-17 13 : 32 : 34] Текст ошибки: Контроллер <b>app\controllers\PostssnewController</b> не найден | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 66

**********

[2020-04-17 13 : 34 : 31] Текст ошибки: Контроллер <b>app\controllers\UserController</b> не найден | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 66

**********

[2020-04-17 13 : 35 : 26] Текст ошибки: Метод <b>app\controllers\UserController::indexAction</b> не найден | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 62

**********

[2020-04-17 13 : 35 : 35] Текст ошибки: <p>Не найден вид <b>/home/alfred/php curs online/fw/app/views//User/signup.php</b></p> | Файл: /home/alfred/php curs online/fw/vendor/fw/core/base/View.php | Строка: 46

**********

[2020-04-17 13 : 36 : 38] Текст ошибки: <p>Не найден вид <b>/home/alfred/php curs online/fw/app/views//User/logout.php</b></p> | Файл: /home/alfred/php curs online/fw/vendor/fw/core/base/View.php | Строка: 46

**********

[2020-04-17 13 : 38 : 29] Текст ошибки: <p>Не найден вид <b>/home/alfred/php curs online/fw/app/views//User/logout.php</b></p> | Файл: /home/alfred/php curs online/fw/vendor/fw/core/base/View.php | Строка: 46

**********

[2020-04-17 14 : 40 : 53] Текст ошибки: Rule 'lenghtMin' has not been registered with Valitron\Validator::addRule(). | Файл: /home/alfred/php curs online/fw/vendor/vlucas/valitron/src/Valitron/Validator.php | Строка: 1383

**********

[2020-04-21 14 : 34 : 36] Текст ошибки: Undefined variable: _SESSION | Файл: /home/alfred/php curs online/fw/app/views/layouts/default.php | Строка: 32

**********

[2020-04-21 14 : 55 : 05] Текст ошибки: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '1@1.com' for key 'unique_email' | Файл: /home/alfred/php curs online/fw/vendor/fw/libs/rb.php | Строка: 810

**********

[2020-04-21 14 : 57 : 08] Текст ошибки: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'user1' for key 'unique_login' | Файл: /home/alfred/php curs online/fw/vendor/fw/libs/rb.php | Строка: 810

**********

[2020-04-24 12 : 30 : 22] Текст ошибки: <p>Не найден вид <b>/home/alfred/php curs online/fw/app/views//User/logout.php</b></p> | Файл: /home/alfred/php curs online/fw/vendor/fw/core/base/View.php | Строка: 46

**********

[2020-04-24 12 : 31 : 39] Текст ошибки: <p>Не найден вид <b>/home/alfred/php curs online/fw/app/views//User/logout.php</b></p> | Файл: /home/alfred/php curs online/fw/vendor/fw/core/base/View.php | Строка: 46

**********

[2020-04-24 12 : 31 : 42] Текст ошибки: <p>Не найден вид <b>/home/alfred/php curs online/fw/app/views//User/logout.php</b></p> | Файл: /home/alfred/php curs online/fw/vendor/fw/core/base/View.php | Строка: 46

**********

[2020-04-24 12 : 45 : 26] Текст ошибки: <p>Не найден вид <b>/home/alfred/php curs online/fw/app/views//User/logout.php</b></p> | Файл: /home/alfred/php curs online/fw/vendor/fw/core/base/View.php | Строка: 46

**********

[2020-04-28 11 : 41 : 15] Текст ошибки: Too few arguments to function fw\libs\Pagenation::__construct(), 0 passed in /home/alfred/php curs online/fw/app/controllers/MainController.php on line 40 and exactly 3 expected | Файл: /home/alfred/php curs online/fw/vendor/fw/libs/Pagenation.php | Строка: 24

**********

[2020-04-28 11 : 58 : 19] Текст ошибки: Undefined index: REQUST_URI | Файл: /home/alfred/php curs online/fw/vendor/fw/libs/Pagenation.php | Строка: 107

**********

[2020-04-28 12 : 11 : 27] Текст ошибки: Undefined variable: count | Файл: /home/alfred/php curs online/fw/app/views/Main/index.php | Строка: 35

**********

[2020-04-28 12 : 12 : 05] Текст ошибки: Страница не найдена | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 71

**********

[2020-04-28 12 : 13 : 46] Текст ошибки: Страница не найдена | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 71

**********

[2020-04-28 12 : 38 : 37] Текст ошибки: Страница не найдена | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 71

**********

[2020-04-28 12 : 40 : 58] Текст ошибки: Страница не найдена | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 71

**********

[2020-04-28 12 : 47 : 27] Текст ошибки: Страница не найдена | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 71

**********

[2020-04-28 12 : 48 : 37] Текст ошибки: Страница не найдена | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 71

**********

[2020-04-28 12 : 48 : 43] Текст ошибки: Страница не найдена | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 71

**********

[2020-04-28 12 : 49 : 01] Текст ошибки: preg_match(): Compilation failed: nothing to repeat at offset 0 | Файл: /home/alfred/php curs online/fw/vendor/fw/libs/Pagenation.php | Строка: 117

**********

[2020-04-28 12 : 49 : 25] Текст ошибки: preg_match(): Compilation failed: nothing to repeat at offset 0 | Файл: /home/alfred/php curs online/fw/vendor/fw/libs/Pagenation.php | Строка: 117

**********

[2020-04-28 12 : 49 : 26] Текст ошибки: preg_match(): Compilation failed: nothing to repeat at offset 0 | Файл: /home/alfred/php curs online/fw/vendor/fw/libs/Pagenation.php | Строка: 117

**********

[2020-04-28 12 : 49 : 26] Текст ошибки: Страница не найдена | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 71

**********

[2020-04-28 12 : 49 : 31] Текст ошибки: Страница не найдена | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 71

**********

[2020-04-28 12 : 50 : 20] Текст ошибки: Страница не найдена | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 71

**********

[2020-04-28 12 : 50 : 23] Текст ошибки: syntax error, unexpected '$url' (T_VARIABLE) | Файл: /home/alfred/php curs online/fw/vendor/fw/libs/Pagenation.php | Строка: 109

**********

[2020-04-28 12 : 50 : 41] Текст ошибки: Страница не найдена | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 71

**********

[2020-04-28 12 : 51 : 46] Текст ошибки: Страница не найдена | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 71

**********

[2020-04-30 12 : 15 : 28] Текст ошибки: Страница не найдена | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 71

**********

[2020-04-30 12 : 15 : 38] Текст ошибки: explode() expects at least 2 parameters, 1 given | Файл: /home/alfred/php curs online/fw/vendor/fw/libs/Pagenation.php | Строка: 109

**********

[2020-04-30 12 : 15 : 41] Текст ошибки: explode() expects at least 2 parameters, 1 given | Файл: /home/alfred/php curs online/fw/vendor/fw/libs/Pagenation.php | Строка: 109

**********

[2020-04-30 12 : 15 : 45] Текст ошибки: explode() expects at least 2 parameters, 1 given | Файл: /home/alfred/php curs online/fw/vendor/fw/libs/Pagenation.php | Строка: 109

**********

[2020-04-30 12 : 15 : 46] Текст ошибки: explode() expects at least 2 parameters, 1 given | Файл: /home/alfred/php curs online/fw/vendor/fw/libs/Pagenation.php | Строка: 109

**********

[2020-04-30 12 : 17 : 48] Текст ошибки: Страница не найдена | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 71

**********

[2020-04-30 12 : 17 : 57] Текст ошибки: explode(): Empty delimiter | Файл: /home/alfred/php curs online/fw/vendor/fw/libs/Pagenation.php | Строка: 109

**********

[2020-04-30 12 : 27 : 29] Текст ошибки: Страница не найдена | Файл: /home/alfred/php curs online/fw/vendor/fw/core/Router.php | Строка: 71

**********

